       job_description_hash       | count 
 3839d1d1448a8a5cb7afe3d4c5d1b73f |    82
 38f42152c69ac650652616056e9a4bf3 |    82
 88f3c469838e94a18c96733153f959a2 |    82
 8e6978de2d1dfd3120cbb3126a18edee |    82
 ebf46b3fb1bc22fefd4ee561127c6f59 |    82
 887dbbf3d0d3fbd881ee8f199ddb526f |    82
 ade260dee0d14ce33e241e0e4c937d22 |    81
 b1be7a81586b706a0288cb53da79e471 |    81
 fdfc79c7bf2579c4a80409645e9dbc9b |    81
 418efda262ec5f2034aaf62a5eaee5b2 |    80
 755ce041a0c4c8fdbca73a946cc655a1 |    80
 3c81dfafbbdb533e0ad78a0308262325 |    80
 c4e2e259960d8e396d6f6afabd87f740 |    80
 e64e7e16e15d24d7ba01852a2574644c |    80
 8605068bbfa047a3957b5d3cbe9d7dfa |    80
 cb580c79ae6583afbf86401177c511ce |    79
 d5bf0a5acf355ece6aa708c961f6b12b |    79
 059c63ce47bcc776bd1eeb8d95a99f9a |    79
 69914814cc7df15762040804551e1d83 |    79
 4ddc32c4829a01e5a9bd34ff394fa8f5 |    79
 2d9c47e4e41128fe565f5eb903d53ac1 |    79
 442cf48d3876a1a122cd0aad9641eafe |    78
 04cf52d465955ed75f2bea52b357477d |    78
 1f7b0f062c403c9c74ef0b33e74bdfd6 |    78
 32f82630f3cd37efb76d93260c0c948c |    78
 133326ed714791715efcb1bec9c7e7cb |    78
 a4e455fafcd5107f8743b4f1dfcfff9b |    78
 9f8d1fe7c0e063f7dd6970e0e4bcd453 |    78
 9b89121f862cd308f03a74640b43ad42 |    77
 909e823199f2740814f27515c2798c93 |    77
 cba5f3ef0475112b2d9c0d3d9a8b5368 |    77
 bf9aec8b0243a98986061219dfb7ee30 |    77
 badc1dbe315679d195fd62752c74bb51 |    77
 29383cc7151cdc281d15b3815466a623 |    77
 12a4cb4c66f34039eaea51d4d9acf1fa |    77
 66ec65821e88f6acc60f54af07f2840b |    77
 18ab30b5289dbeb4064c97d4446d0c14 |    77
 7942ac6b311e4522c27d36d82851dd40 |    76
 4a57839633c169c01ed7fb7589fb419b |    76
 4502582dcc1b090b2779ba6147867b94 |    76
 7242883f41de7d9a69cbf33c5ca1194a |    76
 e59fb61a39c363942349d723b223eba9 |    76
 b0610e07fc7245a1c18daf0701a8e710 |    76
 7fadde4958e8b7ee888be998d8eded27 |    76
 87f1553add236f5502156388db151924 |    76
 9c25f8b53d04dfa97249e279fcf1266a |    76
 c91cf67eb294b5748b09679ed73f1d79 |    75
 97b7c49d2faf2bd014270f38e1e0ac1e |    75
